"","imd","job_status","english_lang","uk_born","gross_income","qualification","own_home","workingstatus","ethnicity","sex","age","p_age","p_sex","p_ethn","p_workstatus","p_own_home","p_qual","p_income","p_uk","p_english","p_job","p_imd","product_p"
"13","1","intermediate","No","Yes","<10000","<=Level 1","Yes","No","BME","Female","16-44",0.64,0.46,0.7,0.35,0.35,0.43,0.1,0.463,0.3463,0.276,0.0186228267916515,8.94599309377185e-07
"14","1","intermediate","No","Yes","<10000","<=Level 1","No","No","BME","Male","16-44",0.64,0.54,0.7,0.35,0.65,0.43,0.1,0.463,0.3463,0.276,0.0186228267916515,1.95033762479125e-06
"15","1","higher","Yes","No","<10000",">=level 2","No","Yes","White","Female",">=45",0.36,0.46,0.3,0.65,0.65,0.57,0.1,0.553,0.6537,0.167,0.0186228267916515,1.34508226806976e-06
"16","1","lower","No","Yes",">=10000","<=Level 1","No","No","BME","Male","16-44",0.64,0.54,0.7,0.35,0.65,0.43,0.9,0.463,0.3463,0.557,0.0186228267916515,3.54240670763716e-05
"17","1","lower","No","Yes","<10000","<=Level 1","No","Yes","BME","Male","16-44",0.64,0.54,0.7,0.65,0.65,0.43,0.1,0.463,0.3463,0.557,0.0186228267916515,7.30972812687033e-06
"18","1","intermediate","No","No",">=10000",">=level 2","No","No","White","Female","16-44",0.64,0.46,0.3,0.35,0.65,0.57,0.9,0.553,0.3463,0.276,0.0186228267916515,1.01458896711038e-05
"19","1","higher","Yes","No",">=10000","<=Level 1","Yes","No","White","Male",">=45",0.36,0.54,0.3,0.35,0.35,0.43,0.9,0.553,0.6537,0.167,0.0186228267916515,3.10835247646895e-06
"20","1","intermediate","No","No","<10000",">=level 2","No","Yes","BME","Male",">=45",0.36,0.54,0.7,0.65,0.65,0.57,0.1,0.553,0.3463,0.276,0.0186228267916515,3.22573122695419e-06
"21","1","higher","No","Yes","<10000","<=Level 1","Yes","Yes","BME","Male",">=45",0.36,0.54,0.7,0.65,0.35,0.43,0.1,0.463,0.3463,0.167,0.0186228267916515,6.63803770394306e-07
"22","1","intermediate","No","Yes",">=10000","<=Level 1","Yes","Yes","White","Female","16-44",0.64,0.46,0.3,0.65,0.35,0.43,0.9,0.463,0.3463,0.276,0.0186228267916515,6.40825219574269e-06
"23","1","intermediate","No","Yes",">=10000",">=level 2","Yes","Yes","White","Female",">=45",0.36,0.46,0.3,0.65,0.35,0.57,0.9,0.463,0.3463,0.276,0.0186228267916515,4.77824618665116e-06
"24","1","intermediate","No","Yes","<10000","<=Level 1","Yes","Yes","White","Female",">=45",0.36,0.46,0.3,0.65,0.35,0.43,0.1,0.463,0.3463,0.276,0.0186228267916515,4.00515762233918e-07
"25","1","higher","Yes","Yes","<10000","<=Level 1","No","Yes","White","Female",">=45",0.36,0.46,0.3,0.65,0.65,0.43,0.1,0.463,0.6537,0.167,0.0186228267916515,8.49568315567424e-07
"26","1","higher","Yes","No",">=10000",">=level 2","No","Yes","White","Male","16-44",0.64,0.54,0.3,0.65,0.65,0.57,0.9,0.553,0.6537,0.167,0.0186228267916515,2.52641539046146e-05
"27","1","lower","No","No","<10000",">=level 2","Yes","No","BME","Female","16-44",0.64,0.46,0.7,0.35,0.35,0.57,0.1,0.553,0.3463,0.557,0.0186228267916515,2.85841453810475e-06
"28","1","intermediate","No","No","<10000",">=level 2","Yes","Yes","BME","Female","16-44",0.64,0.46,0.7,0.65,0.35,0.57,0.1,0.553,0.3463,0.276,0.0186228267916515,2.63041584065654e-06
"29","1","intermediate","Yes","Yes","<10000","<=Level 1","No","Yes","White","Female",">=45",0.36,0.46,0.3,0.65,0.65,0.43,0.1,0.463,0.6537,0.276,0.0186228267916515,1.4040769766264e-06
"30","1","higher","No","Yes",">=10000",">=level 2","Yes","No","White","Male",">=45",0.36,0.54,0.3,0.35,0.35,0.57,0.9,0.463,0.3463,0.167,0.0186228267916515,1.82753846625552e-06
"31","1","higher","No","No",">=10000",">=level 2","Yes","No","White","Female",">=45",0.36,0.46,0.3,0.35,0.35,0.57,0.9,0.553,0.3463,0.167,0.0186228267916515,1.85940818752932e-06
"32","1","lower","No","No","<10000","<=Level 1","Yes","Yes","BME","Male",">=45",0.36,0.54,0.7,0.65,0.35,0.43,0.1,0.553,0.3463,0.557,0.0186228267916515,2.6443721778123e-06
"33","1","higher","No","Yes",">=10000","<=Level 1","Yes","No","BME","Male",">=45",0.36,0.54,0.7,0.35,0.35,0.43,0.9,0.463,0.3463,0.167,0.0186228267916515,3.21689519498779e-06
"34","1","lower","Yes","No",">=10000",">=level 2","No","Yes","BME","Male",">=45",0.36,0.54,0.7,0.65,0.65,0.57,0.9,0.553,0.6537,0.557,0.0186228267916515,0.000110596859364624
"35","1","higher","No","No",">=10000",">=level 2","No","No","White","Male","16-44",0.64,0.54,0.3,0.35,0.65,0.57,0.9,0.553,0.3463,0.167,0.0186228267916515,7.20665036657325e-06
"36","1","higher","Yes","No",">=10000",">=level 2","No","Yes","White","Female","16-44",0.64,0.46,0.3,0.65,0.65,0.57,0.9,0.553,0.6537,0.167,0.0186228267916515,2.15213162891161e-05
"37","1","intermediate","No","Yes",">=10000",">=level 2","No","Yes","BME","Female","16-44",0.64,0.46,0.7,0.65,0.65,0.57,0.9,0.463,0.3463,0.276,0.0186228267916515,3.68101928453127e-05
"38","1","higher","Yes","No","<10000",">=level 2","Yes","No","BME","Male","16-44",0.64,0.54,0.7,0.35,0.35,0.57,0.1,0.553,0.6537,0.167,0.0186228267916515,1.89910251792303e-06
"39","1","lower","Yes","No",">=10000",">=level 2","No","Yes","BME","Female",">=45",0.36,0.46,0.7,0.65,0.65,0.57,0.9,0.553,0.6537,0.557,0.0186228267916515,9.42121394587541e-05
"40","1","lower","Yes","No",">=10000",">=level 2","Yes","Yes","White","Female",">=45",0.36,0.46,0.3,0.65,0.35,0.57,0.9,0.553,0.6537,0.557,0.0186228267916515,2.17412629520202e-05
"41","1","lower","Yes","No","<10000","<=Level 1","No","No","White","Male","16-44",0.64,0.54,0.3,0.35,0.65,0.43,0.1,0.553,0.6537,0.557,0.0186228267916515,3.80320084184843e-06
"42","1","intermediate","No","No","<10000",">=level 2","Yes","No","White","Female","16-44",0.64,0.46,0.3,0.35,0.35,0.57,0.1,0.553,0.3463,0.276,0.0186228267916515,6.07019040151509e-07
"43","1","lower","Yes","Yes",">=10000",">=level 2","No","No","BME","Male",">=45",0.36,0.54,0.7,0.35,0.65,0.57,0.9,0.463,0.6537,0.557,0.0186228267916515,4.9860122576262e-05
"44","1","higher","Yes","Yes",">=10000","<=Level 1","Yes","No","White","Male",">=45",0.36,0.54,0.3,0.35,0.35,0.43,0.9,0.463,0.6537,0.167,0.0186228267916515,2.60247232659154e-06
"45","1","lower","No","Yes",">=10000",">=level 2","Yes","Yes","White","Female","16-44",0.64,0.46,0.3,0.65,0.35,0.57,0.9,0.463,0.3463,0.557,0.0186228267916515,1.71432085408354e-05
"46","1","lower","No","Yes",">=10000",">=level 2","No","No","White","Male",">=45",0.36,0.54,0.3,0.35,0.65,0.57,0.9,0.463,0.3463,0.557,0.0186228267916515,1.13201078136495e-05
"47","1","lower","Yes","No",">=10000","<=Level 1","Yes","No","BME","Female","16-44",0.64,0.46,0.7,0.35,0.35,0.43,0.9,0.553,0.6537,0.557,0.0186228267916515,3.66342508441298e-05
"48","1","intermediate","Yes","Yes","<10000","<=Level 1","Yes","No","White","Male","16-44",0.64,0.54,0.3,0.35,0.35,0.43,0.1,0.463,0.6537,0.276,0.0186228267916515,8.49598417552173e-07
"49","1","intermediate","No","Yes","<10000",">=level 2","Yes","Yes","White","Female",">=45",0.36,0.46,0.3,0.65,0.35,0.57,0.1,0.463,0.3463,0.276,0.0186228267916515,5.3091624296124e-07
"50","1","lower","No","No",">=10000","<=Level 1","No","Yes","White","Female",">=45",0.36,0.46,0.3,0.65,0.65,0.43,0.9,0.553,0.3463,0.557,0.0186228267916515,1.61360669625689e-05
"51","1","lower","No","No","<10000",">=level 2","No","No","White","Male",">=45",0.36,0.54,0.3,0.35,0.65,0.57,0.1,0.553,0.3463,0.557,0.0186228267916515,1.50228452626546e-06
"52","1","higher","Yes","No","<10000",">=level 2","Yes","Yes","White","Female",">=45",0.36,0.46,0.3,0.65,0.35,0.57,0.1,0.553,0.6537,0.167,0.0186228267916515,7.24275067422176e-07
"53","1","higher","Yes","Yes",">=10000",">=level 2","No","No","BME","Male","16-44",0.64,0.54,0.7,0.35,0.65,0.57,0.9,0.463,0.6537,0.167,0.0186228267916515,2.65761515108263e-05
"54","1","intermediate","Yes","No","<10000","<=Level 1","No","Yes","White","Female",">=45",0.36,0.46,0.3,0.65,0.65,0.43,0.1,0.553,0.6537,0.276,0.0186228267916515,1.67700770642419e-06
"55","1","higher","No","Yes",">=10000",">=level 2","Yes","Yes","White","Female","16-44",0.64,0.46,0.3,0.65,0.35,0.57,0.9,0.463,0.3463,0.167,0.0186228267916515,5.13988478692911e-06
"56","1","lower","Yes","No",">=10000","<=Level 1","Yes","Yes","BME","Male","16-44",0.64,0.54,0.7,0.65,0.35,0.43,0.9,0.553,0.6537,0.557,0.0186228267916515,7.98672176788171e-05
"57","1","higher","Yes","No","<10000",">=level 2","Yes","Yes","BME","Male","16-44",0.64,0.54,0.7,0.65,0.35,0.57,0.1,0.553,0.6537,0.167,0.0186228267916515,3.52690467614277e-06
"58","1","intermediate","No","Yes",">=10000","<=Level 1","Yes","No","BME","Male",">=45",0.36,0.54,0.7,0.35,0.35,0.43,0.9,0.463,0.3463,0.276,0.0186228267916515,5.31654535219539e-06
"59","1","lower","Yes","No","<10000",">=level 2","Yes","Yes","BME","Female",">=45",0.36,0.46,0.7,0.65,0.35,0.57,0.1,0.553,0.6537,0.557,0.0186228267916515,5.63662372830153e-06
"60","1","higher","No","No",">=10000",">=level 2","No","Yes","BME","Male",">=45",0.36,0.54,0.7,0.65,0.65,0.57,0.9,0.553,0.3463,0.167,0.0186228267916515,1.75662102685223e-05
"61","1","higher","Yes","No","<10000",">=level 2","Yes","Yes","White","Female","16-44",0.64,0.46,0.3,0.65,0.35,0.57,0.1,0.553,0.6537,0.167,0.0186228267916515,1.28760011986165e-06
"62","1","intermediate","No","No","<10000",">=level 2","Yes","No","White","Male",">=45",0.36,0.54,0.3,0.35,0.35,0.57,0.1,0.553,0.3463,0.276,0.0186228267916515,4.0083050749135e-07
"63","1","intermediate","Yes","No",">=10000","<=Level 1","Yes","Yes","BME","Female","16-44",0.64,0.46,0.7,0.65,0.35,0.43,0.9,0.553,0.6537,0.276,0.0186228267916515,3.37121549188863e-05
"64","1","lower","Yes","Yes","<10000",">=level 2","Yes","No","BME","Female","16-44",0.64,0.46,0.7,0.35,0.35,0.57,0.1,0.463,0.6537,0.557,0.0186228267916515,4.51759261919915e-06
"65","1","intermediate","Yes","Yes",">=10000","<=Level 1","No","No","BME","Female","16-44",0.64,0.46,0.7,0.35,0.65,0.43,0.9,0.463,0.6537,0.276,0.0186228267916515,2.82255474275666e-05
"66","1","higher","Yes","Yes",">=10000",">=level 2","No","Yes","BME","Male",">=45",0.36,0.54,0.7,0.65,0.65,0.57,0.9,0.463,0.6537,0.167,0.0186228267916515,2.7762586846131e-05
"67","1","intermediate","No","No",">=10000",">=level 2","No","Yes","BME","Male","16-44",0.64,0.54,0.7,0.65,0.65,0.57,0.9,0.553,0.3463,0.276,0.0186228267916515,5.16116996312671e-05
"68","1","higher","No","Yes","<10000","<=Level 1","Yes","Yes","White","Male",">=45",0.36,0.54,0.3,0.65,0.35,0.43,0.1,0.463,0.3463,0.167,0.0186228267916515,2.84487330168988e-07
"69","1","lower","Yes","No","<10000",">=level 2","Yes","No","BME","Female","16-44",0.64,0.46,0.7,0.35,0.35,0.57,0.1,0.553,0.6537,0.557,0.0186228267916515,5.39574237239121e-06
"70","1","higher","Yes","No",">=10000",">=level 2","No","No","BME","Male","16-44",0.64,0.54,0.7,0.35,0.65,0.57,0.9,0.553,0.6537,0.167,0.0186228267916515,3.17421420852849e-05
"71","1","lower","Yes","No",">=10000","<=Level 1","No","Yes","BME","Female",">=45",0.36,0.46,0.7,0.65,0.65,0.43,0.9,0.553,0.6537,0.557,0.0186228267916515,7.10723157320426e-05
"72","1","higher","Yes","No",">=10000","<=Level 1","No","No","White","Female",">=45",0.36,0.46,0.3,0.35,0.65,0.43,0.9,0.553,0.6537,0.167,0.0186228267916515,4.91744651039267e-06
"73","1","lower","Yes","No","<10000",">=level 2","Yes","No","White","Female",">=45",0.36,0.46,0.3,0.35,0.35,0.57,0.1,0.553,0.6537,0.557,0.0186228267916515,1.30075932191574e-06
"74","1","higher","Yes","Yes",">=10000",">=level 2","No","No","White","Female","16-44",0.64,0.46,0.3,0.35,0.65,0.57,0.9,0.463,0.6537,0.167,0.0186228267916515,9.70240451982546e-06
"75","1","higher","No","No","<10000",">=level 2","No","Yes","BME","Male","16-44",0.64,0.54,0.7,0.65,0.65,0.57,0.1,0.553,0.3463,0.167,0.0186228267916515,3.46986869501675e-06
"76","1","intermediate","Yes","Yes",">=10000","<=Level 1","Yes","No","White","Female","16-44",0.64,0.46,0.3,0.35,0.35,0.43,0.9,0.463,0.6537,0.276,0.0186228267916515,6.51358786789999e-06
"77","1","higher","Yes","No",">=10000","<=Level 1","Yes","No","BME","Male",">=45",0.36,0.54,0.7,0.35,0.35,0.43,0.9,0.553,0.6537,0.167,0.0186228267916515,7.25282244509421e-06
"78","1","intermediate","No","Yes","<10000","<=Level 1","No","No","BME","Male",">=45",0.36,0.54,0.7,0.35,0.65,0.43,0.1,0.463,0.3463,0.276,0.0186228267916515,1.09706491394508e-06
"79","1","intermediate","No","Yes",">=10000","<=Level 1","No","Yes","White","Male",">=45",0.36,0.54,0.3,0.65,0.65,0.43,0.9,0.463,0.3463,0.276,0.0186228267916515,7.858567036627e-06
"80","1","intermediate","Yes","No","<10000","<=Level 1","No","Yes","BME","Male","16-44",0.64,0.54,0.7,0.65,0.65,0.43,0.1,0.553,0.6537,0.276,0.0186228267916515,8.1662983965004e-06
"81","1","intermediate","Yes","Yes",">=10000",">=level 2","Yes","Yes","BME","Female",">=45",0.36,0.46,0.7,0.65,0.35,0.57,0.9,0.463,0.6537,0.276,0.0186228267916515,2.10460840557292e-05
"82","1","higher","No","Yes",">=10000","<=Level 1","Yes","Yes","White","Female",">=45",0.36,0.46,0.3,0.65,0.35,0.43,0.9,0.463,0.3463,0.167,0.0186228267916515,2.18106953129558e-06
"83","1","higher","No","Yes","<10000",">=level 2","Yes","No","White","Female",">=45",0.36,0.46,0.3,0.35,0.35,0.57,0.1,0.463,0.3463,0.167,0.0186228267916515,1.72976891867807e-07
"84","1","intermediate","Yes","Yes",">=10000","<=Level 1","Yes","Yes","BME","Female","16-44",0.64,0.46,0.7,0.65,0.35,0.43,0.9,0.463,0.6537,0.276,0.0186228267916515,2.82255474275666e-05
"85","1","higher","Yes","Yes","<10000","<=Level 1","Yes","Yes","BME","Female","16-44",0.64,0.46,0.7,0.65,0.35,0.43,0.1,0.463,0.6537,0.167,0.0186228267916515,1.89761128035573e-06
"86","1","higher","Yes","No","<10000","<=Level 1","Yes","Yes","White","Male",">=45",0.36,0.54,0.3,0.65,0.35,0.43,0.1,0.553,0.6537,0.167,0.0186228267916515,6.41406066572957e-07
"87","1","higher","Yes","Yes","<10000","<=Level 1","Yes","No","BME","Male",">=45",0.36,0.54,0.7,0.35,0.35,0.43,0.1,0.463,0.6537,0.167,0.0186228267916515,6.74715047634844e-07
"88","1","intermediate","No","Yes",">=10000","<=Level 1","Yes","Yes","White","Male","16-44",0.64,0.54,0.3,0.65,0.35,0.43,0.9,0.463,0.3463,0.276,0.0186228267916515,7.52273083848055e-06
"89","1","intermediate","Yes","Yes","<10000",">=level 2","No","Yes","White","Female",">=45",0.36,0.46,0.3,0.65,0.65,0.57,0.1,0.463,0.6537,0.276,0.0186228267916515,1.8612183178536e-06
"90","1","higher","Yes","No",">=10000","<=Level 1","No","Yes","BME","Male",">=45",0.36,0.54,0.7,0.65,0.65,0.43,0.9,0.553,0.6537,0.167,0.0186228267916515,2.50148365963453e-05
"91","1","intermediate","No","No",">=10000","<=Level 1","No","Yes","BME","Female",">=45",0.36,0.46,0.7,0.65,0.65,0.43,0.9,0.553,0.3463,0.276,0.0186228267916515,1.86564221254836e-05
"92","1","lower","Yes","No",">=10000",">=level 2","No","No","BME","Female","16-44",0.64,0.46,0.7,0.35,0.65,0.57,0.9,0.553,0.6537,0.557,0.0186228267916515,9.01859796528244e-05
"93","1","lower","Yes","No","<10000","<=Level 1","Yes","No","BME","Female",">=45",0.36,0.46,0.7,0.35,0.35,0.43,0.1,0.553,0.6537,0.557,0.0186228267916515,2.28964067775811e-06
"94","1","lower","No","No","<10000",">=level 2","Yes","No","BME","Male",">=45",0.36,0.54,0.7,0.35,0.35,0.57,0.1,0.553,0.3463,0.557,0.0186228267916515,1.88748568684634e-06
"95","1","higher","No","No",">=10000",">=level 2","Yes","No","White","Female","16-44",0.64,0.46,0.3,0.35,0.35,0.57,0.9,0.553,0.3463,0.167,0.0186228267916515,3.30561455560767e-06
"96","1","higher","No","Yes","<10000",">=level 2","Yes","No","BME","Male","16-44",0.64,0.54,0.7,0.35,0.35,0.57,0.1,0.463,0.3463,0.167,0.0186228267916515,8.42322256051928e-07
"97","1","higher","No","No",">=10000",">=level 2","Yes","No","BME","Male",">=45",0.36,0.54,0.7,0.35,0.35,0.57,0.9,0.553,0.3463,0.167,0.0186228267916515,5.09316155714552e-06
"98","1","lower","No","No",">=10000",">=level 2","No","No","BME","Male","16-44",0.64,0.54,0.7,0.35,0.65,0.57,0.9,0.553,0.3463,0.557,0.0186228267916515,5.6085288980577e-05
"99","1","higher","No","No",">=10000",">=level 2","No","Yes","White","Male","16-44",0.64,0.54,0.3,0.65,0.65,0.57,0.9,0.553,0.3463,0.167,0.0186228267916515,1.33837792522075e-05
"100","1","intermediate","Yes","No",">=10000",">=level 2","No","Yes","BME","Female",">=45",0.36,0.46,0.7,0.65,0.65,0.57,0.9,0.553,0.6537,0.276,0.0186228267916515,4.66832145253432e-05
"101","1","lower","No","No",">=10000","<=Level 1","Yes","Yes","White","Male",">=45",0.36,0.54,0.3,0.65,0.35,0.43,0.9,0.553,0.3463,0.557,0.0186228267916515,1.0199721257276e-05
"102","1","higher","No","Yes","<10000","<=Level 1","No","Yes","White","Male",">=45",0.36,0.54,0.3,0.65,0.65,0.43,0.1,0.463,0.3463,0.167,0.0186228267916515,5.28333613170978e-07
"103","1","lower","No","Yes","<10000","<=Level 1","No","Yes","White","Female","16-44",0.64,0.46,0.3,0.65,0.65,0.43,0.1,0.463,0.3463,0.557,0.0186228267916515,2.6686309034606e-06
"104","1","intermediate","Yes","Yes","<10000","<=Level 1","No","Yes","White","Male","16-44",0.64,0.54,0.3,0.65,0.65,0.43,0.1,0.463,0.6537,0.276,0.0186228267916515,2.93024760339423e-06
"105","1","higher","Yes","No","<10000","<=Level 1","No","No","White","Male",">=45",0.36,0.54,0.3,0.35,0.65,0.43,0.1,0.553,0.6537,0.167,0.0186228267916515,6.41406066572957e-07
"106","1","higher","No","No",">=10000","<=Level 1","Yes","No","BME","Female","16-44",0.64,0.46,0.7,0.35,0.35,0.43,0.9,0.553,0.3463,0.167,0.0186228267916515,5.81865486104041e-06
"107","1","higher","No","Yes","<10000","<=Level 1","No","Yes","BME","Male",">=45",0.36,0.54,0.7,0.65,0.65,0.43,0.1,0.463,0.3463,0.167,0.0186228267916515,1.23277843073228e-06
"108","1","higher","Yes","Yes","<10000",">=level 2","Yes","Yes","BME","Male","16-44",0.64,0.54,0.7,0.65,0.35,0.57,0.1,0.463,0.6537,0.167,0.0186228267916515,2.95290572342514e-06
"109","1","intermediate","No","No",">=10000",">=level 2","No","Yes","BME","Male",">=45",0.36,0.54,0.7,0.65,0.65,0.57,0.9,0.553,0.3463,0.276,0.0186228267916515,2.90315810425877e-05
"110","1","intermediate","No","No","<10000",">=level 2","Yes","No","BME","Female","16-44",0.64,0.46,0.7,0.35,0.35,0.57,0.1,0.553,0.3463,0.276,0.0186228267916515,1.41637776035352e-06
"111","1","lower","No","No",">=10000","<=Level 1","Yes","Yes","BME","Male",">=45",0.36,0.54,0.7,0.65,0.35,0.43,0.9,0.553,0.3463,0.557,0.0186228267916515,2.37993496003107e-05
"112","1","lower","Yes","Yes","<10000","<=Level 1","No","Yes","White","Male","16-44",0.64,0.54,0.3,0.65,0.65,0.43,0.1,0.463,0.6537,0.557,0.0186228267916515,5.91357940250212e-06
"113","1","intermediate","Yes","No","<10000",">=level 2","No","No","White","Male",">=45",0.36,0.54,0.3,0.35,0.65,0.57,0.1,0.553,0.6537,0.276,0.0186228267916515,1.40518037032805e-06
"114","1","intermediate","No","Yes",">=10000",">=level 2","Yes","No","BME","Male",">=45",0.36,0.54,0.7,0.35,0.35,0.57,0.9,0.463,0.3463,0.276,0.0186228267916515,7.04751360639854e-06
"115","1","higher","Yes","No","<10000",">=level 2","Yes","Yes","White","Male","16-44",0.64,0.54,0.3,0.65,0.35,0.57,0.1,0.553,0.6537,0.167,0.0186228267916515,1.51153057548976e-06
"116","1","lower","No","No","<10000",">=level 2","Yes","Yes","White","Male",">=45",0.36,0.54,0.3,0.65,0.35,0.57,0.1,0.553,0.3463,0.557,0.0186228267916515,1.50228452626546e-06
"117","1","higher","No","Yes",">=10000","<=Level 1","Yes","No","White","Female",">=45",0.36,0.46,0.3,0.35,0.35,0.43,0.9,0.463,0.3463,0.167,0.0186228267916515,1.174422055313e-06
"118","1","higher","No","Yes",">=10000",">=level 2","Yes","No","White","Female",">=45",0.36,0.46,0.3,0.35,0.35,0.57,0.9,0.463,0.3463,0.167,0.0186228267916515,1.55679202681026e-06
"119","1","higher","Yes","Yes",">=10000","<=Level 1","Yes","No","BME","Female","16-44",0.64,0.46,0.7,0.35,0.35,0.43,0.9,0.463,0.6537,0.167,0.0186228267916515,9.19611620480083e-06
"120","1","intermediate","Yes","Yes",">=10000",">=level 2","Yes","Yes","BME","Male",">=45",0.36,0.54,0.7,0.65,0.35,0.57,0.9,0.463,0.6537,0.276,0.0186228267916515,2.47062725871604e-05
"121","1","lower","Yes","No",">=10000","<=Level 1","No","Yes","BME","Male",">=45",0.36,0.54,0.7,0.65,0.65,0.43,0.9,0.553,0.6537,0.557,0.0186228267916515,8.343271846805e-05
"122","1","higher","No","Yes",">=10000","<=Level 1","Yes","Yes","BME","Male","16-44",0.64,0.54,0.7,0.65,0.35,0.43,0.9,0.463,0.3463,0.167,0.0186228267916515,1.06208603263089e-05
"123","1","intermediate","No","Yes","<10000",">=level 2","No","No","BME","Male",">=45",0.36,0.54,0.7,0.35,0.65,0.57,0.1,0.463,0.3463,0.276,0.0186228267916515,1.45424883941557e-06
"124","1","intermediate","No","Yes","<10000",">=level 2","Yes","No","White","Male",">=45",0.36,0.54,0.3,0.35,0.35,0.57,0.1,0.463,0.3463,0.276,0.0186228267916515,3.35595886018978e-07
"125","1","higher","Yes","Yes","<10000",">=level 2","No","Yes","BME","Male","16-44",0.64,0.54,0.7,0.65,0.65,0.57,0.1,0.463,0.6537,0.167,0.0186228267916515,5.48396777207526e-06
"126","1","intermediate","Yes","No",">=10000",">=level 2","Yes","Yes","White","Female","16-44",0.64,0.46,0.3,0.65,0.35,0.57,0.9,0.553,0.6537,0.276,0.0186228267916515,1.91520880103972e-05
"127","1","lower","Yes","Yes",">=10000",">=level 2","No","Yes","White","Male","16-44",0.64,0.54,0.3,0.65,0.65,0.57,0.9,0.463,0.6537,0.557,0.0186228267916515,7.05503775228742e-05
"128","1","lower","Yes","No",">=10000","<=Level 1","No","No","BME","Female",">=45",0.36,0.46,0.7,0.35,0.65,0.43,0.9,0.553,0.6537,0.557,0.0186228267916515,3.82697084710998e-05
"129","1","lower","No","Yes","<10000","<=Level 1","Yes","Yes","White","Female","16-44",0.64,0.46,0.3,0.65,0.35,0.43,0.1,0.463,0.3463,0.557,0.0186228267916515,1.4369551018634e-06
"130","1","intermediate","No","No","<10000","<=Level 1","No","No","White","Male",">=45",0.36,0.54,0.3,0.35,0.65,0.43,0.1,0.553,0.3463,0.276,0.0186228267916515,5.61564545583119e-07
"131","1","higher","No","Yes","<10000","<=Level 1","Yes","Yes","White","Male","16-44",0.64,0.54,0.3,0.65,0.35,0.43,0.1,0.463,0.3463,0.167,0.0186228267916515,5.05755253633757e-07
"132","1","intermediate","No","Yes","<10000","<=Level 1","No","No","BME","Female",">=45",0.36,0.46,0.7,0.35,0.65,0.43,0.1,0.463,0.3463,0.276,0.0186228267916515,9.34536778545809e-07
"133","1","lower","No","Yes",">=10000","<=Level 1","Yes","No","White","Female",">=45",0.36,0.46,0.3,0.35,0.35,0.43,0.9,0.463,0.3463,0.557,0.0186228267916515,3.9170843401757e-06
"134","1","higher","Yes","No","<10000",">=level 2","No","No","White","Male","16-44",0.64,0.54,0.3,0.35,0.65,0.57,0.1,0.553,0.6537,0.167,0.0186228267916515,1.51153057548976e-06
